STATION_CODE,STATION_NAME,OBSERVED_VALUE,YEAR_MEASURED,ORDER,ENCODER,DATE_LAST_UPDATED
,20140 / PMG 94(84),978367,,2,,
,20141 / PMG-73,978363,,2,,
,20142 / PA-89,978355,,2,,
,20143 / PAGS-2007,978344,,2,,
,20144 / PAGS-2008,978339,,2,,
,20145 / PMG-3008,978352,,2,,
,20146 / PAGS-2010,978360,,2,,
,20147 / PAGS-2011,978368,,2,,
,20148 / PMG-3007,978377,,2,,
,20149 / PMG-56,978376,,2,,
,20150 / PMG-85,978398,,2,,
,20151 / PMG-105,978416,,2,,
,20152 / PMG-3204,978348,,2,,
,20153 / PMG 3407,978344,,2,,
,20154 / PA-GS 2018,978339,,2,,
,20155 / PA-GS 2019,978336,,2,,
,20156 / BLLM 1-A,978338,,2,,
,20157 / PMG 103,978339,,2,,
,20158 / TRC-33,978464,,2,,
,20159 / TRC 45,978422,,2,,
,20160 / TRC-3372,978387,,2,,
,20161 / TRC-3373,978388,,2,,
,20162 / TRC-104,978388,,2,,
,20163 / TRC-3024,978362,,2,,
,20164 / TRC-3378,978366,,2,,
,20165 / TRC-95,978475,,2,,
,20166 / TRC-93,978484,,2,,
,20167 / TRC-3220,978415,,2,,
,20168 / TRC-3005,978392,,2,,
,20169 / TAGS-2013,978394,,2,,
,20170 / TRC-3246,978384,,2,,
,20171 / TRC-3240,978388,,2,,
,20172 / TRC-3006,978390,,2,,
,20173 / TRC-3007,978388,,2,,
,20174 / TRC-3008,978396,,2,,
,20175 / TRC-99,978383,,2,,
,20176 / TRC-79,978550,,2,,
,20177 / TRC-83,978559,,2,,
,20178 / TRC-3227,978506,,2,,
,20179 / PNG-3273,978555,,2,,
,20180 / PS-520,978464,,2,,
,20181 / PNG-3118,978488,,2,,
,20182 / PNG-3152,978453,,2,,
,20183 / PNG-3021,978452,,2,,
,20184 / PNG-3022,978443,,2,,
,20185 / PSGS-2009,978432,,2,,
,20186 / PNG-3631,978479,,2,,
,20187 / PNG-3391,978523,,2,,
,20188 / PNG-3900,978535,,2,,
,20189 / PNG-3040,978522,,2,,
